molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1668304,COc1cccc2[nH]c(C(=O)Cc3cccnc3)cc12,inactive,58000.0
CHEMBL1668305,O=C(Cc1cccnc1)c1cc2c(O)cccc2[nH]1,inactive,83000.0
CHEMBL1668306,O=C(Cc1cccnc1)c1cc2cc(F)ccc2[nH]1,inactive,36000.0
CHEMBL1668307,O=C(Cc1cccnc1)c1cc2cc(Cl)ccc2[nH]1,inactive,24600.0
CHEMBL1668308,O=C(Cc1cccnc1)c1cc2cc(Br)ccc2[nH]1,inactive,18000.0
CHEMBL1668309,Cc1ccc2[nH]c(C(=O)Cc3cccnc3)cc2c1,inactive,87000.0
CHEMBL1668310,COc1ccc2[nH]c(C(=O)Cc3cccnc3)cc2c1,inactive,49000.0
CHEMBL1668312,O=C(Cc1cccnc1)c1cc2cc(-c3ccccc3)ccc2[nH]1,inactive,96000.0
CHEMBL1668313,O=C(Cc1cccnc1)c1cc2cc(OC(F)(F)F)ccc2[nH]1,inactive,13100.0
CHEMBL1668314,O=C(Cc1cccnc1)c1cc2cc(O)ccc2[nH]1,inactive,37000.0
CHEMBL1668315,O=C(Cc1cccnc1)c1cc2ccc(F)cc2[nH]1,inactive,43000.0
CHEMBL1668316,COc1cccc2cc(C(=O)Cc3cccnc3)[nH]c12,inactive,82000.0
CHEMBL1668318,COc1ccc2[nH]c(C(=O)Cc3cccnc3)cc2c1O,inactive,63000.0
CHEMBL1668319,O=C(Cc1cccnc1)c1cc2c(Cl)cc(Cl)cc2[nH]1,inactive,139000.0
CHEMBL1668397,COc1cc(OC)c2cc(C(=O)Cc3cccnc3)[nH]c2c1,inactive,45000.0
CHEMBL1668398,CC(C(=O)c1cc2ccccc2[nH]1)c1cccnc1,inactive,141000.0
CHEMBL1668399,O=C(Cc1ccccn1)c1cc2ccccc2[nH]1,inactive,37000.0
CHEMBL1668401,O=C(Cc1cnccn1)c1cc2ccccc2[nH]1,inactive,26200.0
CHEMBL1667871,O=C(Cc1ccccc1)c1cc2ccccc2[nH]1,inactive,29000.0
CHEMBL1668405,O=C(Nc1cccnc1)c1cc2ccccc2[nH]1,inactive,94000.0
CHEMBL1668406,Cn1c(C(=O)Cc2cccnc2)cc2ccccc21,inactive,34000.0
CHEMBL1802300,Cn1c(C(=O)Cc2cccnc2)cc2cc(F)ccc21,inactive,92000.0
CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,inactive,143000.0
CHEMBL1909732,COc1ccc(-c2cnn[nH]2)cc1,inactive,6000000.0
CHEMBL372363,COc1ccccc1-c1c[nH]nn1,inactive,1028000.0
CHEMBL194429,Brc1ccc(-c2c[nH]nn2)cc1,inactive,1256000.0
